,Online_id,Experiment_id,Lastfm_tag,Artist,Title,Youtube_link,Highlight_start,Num_ratings,VAQ_Estimate,VAQ_Online,AVG_Valence,STD_Valence,Q1_Valence,Q2_Valence,Q3_Valence,AVG_Arousal,STD_Arousal,Q1_Arousal,Q2_Arousal,Q3_Arousal,AVG_Dominance,STD_Dominance,Q1_Dominance,Q2_Dominance,Q3_Dominance
27,95,27,,Madonna,Rain,http://www.youtube.com/watch?v=15kWlTrpt5k,31,15,3,3,4.3333,2.0221,2,5,5.8333,3.1333,1.7839,2,2,5,4.8,1.9732,3,6,6
28,96,28,,Sia,Breathe Me,http://www.youtube.com/watch?v=ghPcYqn0p4Y,6,16,3,3,3.25,1.299,1.4167,3,4,2.75,1.4361,1.4167,3,3.5833,2.9375,1.4348,1.4167,3,4.1667
29,97,29,,Christina Aguilera ,Hurt,http://www.youtube.com/watch?v=zHqZmtAD0lQ,181,16,3,3,3.4375,1.3214,2,3.5,4,3.625,1.8329,2,3.5,5.5833,3.9375,2.304,2.4167,3.5,5.5833
30,98,30,,Enya ,May It Be (Saving Private Ryan),http://www.youtube.com/watch?v=xxvw5vrJxos,86,15,3,3,3.2,1.7588,2,3,4,3.6667,1.8856,2,3,4.8333,3.2667,1.8785,2,3,4
31,51,31,terrible,Mortemia,The One I Once Was,http://www.youtube.com/watch?v=O0yoxveh7Tg,211,15,4,4,3.6667,1.4907,4.1667,3,5,5.4667,2.0613,4.1667,5,7,4.6,1.7436,3.1667,5,6
32,53,32,shock,Marilyn Manson,The Beautiful People,http://www.youtube.com/watch?v=Ypkv0HeUvTc,6,15,4,4,4.6667,1.4907,6.1667,5,5,6.4,1.9253,6.1667,7,7,4.9333,1.5691,4,5,6
33,56,33,hate,Dead To Fall,Bastard Set Of Dreams,http://www.youtube.com/watch?v=HdH8NYsDwWk,126,15,4,4,3.9333,2.0483,4.1667,3,5.8333,6.1333,2.0934,4.1667,6,8,5.5333,1.8927,3.3333,6,7
34,107,34,,Dj Paul Elstak,A Hardcore State Of Mind,http://www.youtube.com/watch?v=6fxI1JsXv1A,131,14,4,4,4.7857,1.9339,5.9167,5,6.0833,6.3571,1.9496,5.9167,7,8,4.9286,2.1865,3.9167,4.5,7
35,111,35,,Napalm Death ,Procrastination On The Empty Vessel,http://www.youtube.com/watch?v=Y9eXzmVzDR8,41,15,4,4,3.5333,1.8927,4.3333,3,4.8333,6.3333,2.1187,4.3333,7,7.8333,4.9333,2.3514,3.1667,5,6.8333
36,112,36,,Sepultura ,Refuse Resist,http://www.youtube.com/watch?v=AJQ4sg3VCsk,6,15,4,4,4.9333,2.294,7,5,6.8333,7.2667,1.34,7,7,8,7.0667,2.0806,5.1667,8,9
37,113,37,,Cradle Of Filth ,Scorched Earth Erotica,http://www.youtube.com/watch?v=ScD62dww0Fw,6,15,4,4,3.2667,1.6111,5.1667,4,4,5.8667,2.2764,5.1667,6,7.8333,5.5333,2.2764,4,6,7
38,115,38,,Gorgoroth ,Carving A Giant,http://www.youtube.com/watch?v=aFn26ntmSsg,166,15,4,4,3.2667,2.1124,4.1667,3,4,5.3333,2.241,4.1667,6,7,5.6667,2.4129,3.3333,6,7.8333
39,116,39,,Dark Funeral ,My Funeral ,http://www.youtube.com/watch?v=TEVodXzNmPM,251,15,4,4,3.4667,2.3343,3.1667,3,4.8333,5.3333,2.3851,3.1667,6,7,5.2667,2.8628,2.1667,5,8
40,120,40,,Arch Enemy,My Apocalypse,http://www.youtube.com/watch?v=mZM-d2qD15E,201,15,4,4,3.7333,2.594,4,3,4.8333,5.7333,2.2351,4,6,7.8333,5.5333,2.3627,4,5,7
